norm,loc,per,org
9 декабрь 2016 в москва открыть первый в мир мультимедийный научно-познавательный музей магистральный транспорт газ .,Москва,,
18 январь 2017 ввести в эксплуатация новый добычный мощность на бованенковский месторождение и газопровод « бованенково — ухта — 2 » .,Ухта Бованенково Бованенковском,,
31 май 1995 состояться первый годовой общий собрание акционер « газпром » .,,,Газпром
7 май 2017 начаться строительство морской участок газопровод « турецкий поток » .,,,
3 август 2017 заложить первый фундамент амурский гпз .,,,Амурский ГПЗ
25 сентябрь 2017 группа « газпром » занять первый место в ежегодный рейтинг « топ-250 глобальный энергетический компания » s & p global platts .,,,Газпром S&P Global Platts
1 декабрь 2017 в г . салават ( республика башкортостан ) ввести в промышленный эксплуатация крупный в россия завод по производство акриловый кислота и бутилакрилат ооо « газпром нефтехим салават » .,Республика Башкортостан Салават Россия,,ООО «Газпром нефтехим Салават
"13 март 2018 « газпром » установить абсолютный суточный рекорд поставка газ в дальний зарубежье : 713,4 млн куб . м . газ .",,,Газпром
5 сентябрь 2018 начаться строительство газопровод « северный поток — 2 » .,,,
19 ноябрь 2018 завершить морской укладка газопровод « турецкий поток » .,,,
"5 декабрь 2018 ввести в эксплуатация третий , финальный газовый промысел на бованенковский месторождение . мощность месторождение вывести на проектный уровень — 115 млрд куб . м газ в год .",Бованенковском,,
5 декабрь 2018 к единый система газоснабжение россия подключить газопровод « ухта — торжок — 2 » .,Ухта Россия Торжок,,
19 декабрь 2018 ввести в эксплуатация энергоблок № 1 грозненский теплоэлектростанция мощность около 180 мвт .,Грозненская,,
"8 январь 2019 ввести в эксплуатация морской терминал по прием природный газ и плавучий регазификационный установка « маршал василевский » в калининградский область , что позволить вывести энергобезопасность регион на принципиально новый уровень .",Калининградская область,,
20 март 2019 начаться полномасштабный освоение харасавэйский месторождение на полуостров ямал .,Ямал Харасавэйское,,
17 май 2019 « газпром » открыть на шельф ямал два новый месторождение c суммарный запас газ более 500 млрд куб . м — месторождение они . в . а . динков и нярмейский месторождение .,Ямал Нярмейское,В. А. Динков,Газпром
28 июнь 2019 ввести в эксплуатация второй энергоблок грозненский теплоэлектростанция мощность около 180 мвт — финальный объект масштабный программа группа « газпром » по создание новый мощность в рамка договор о предоставление мощность .,Грозненская,,Группа «Газпром
"2 декабрь 2019 начаться первый трубопроводный поставка российский газ в китай по « восточный » маршрут — магистральный газопровод « сила сибирь » . газ в « сила сибирь » начать поступать с чаяндинской месторождение в якутия , на база который в регион с нуль создать новый центр газодобыча .",Якутия Китай Чаяндинское месторождение,,Сила Сибири
"8 январь 2020 запустить в работа газопровод « турецкий поток » , состоять из два нитка общий мощность 31,5 млрд куб . м . первый нитка предназначить для поставка газ в турция , второй — в страна южный и юго-восточный европа .",Южная Юго-Восточная Европа Турция,,
8 октябрь 2020 на ленинградский месторождение ямальский центр газодобыча открыть новый газовый залежь .,Ямальский центр,,
в ход исследование продуктивность ленинградский месторождение получить промышленный приток газ дебит более 1 млн куб . м в сутки . это рекордный показатель для месторождение на российский арктический шельф .,Ленинградское месторождение,,
20 апрель 2021 в амурский область ввести в эксплуатация свободненский теплоэлектростанция . она обеспечить технологический пар и электроэнергия амурский газоперерабатывающий завод .,Амурская область,,Амурский газоперерабатывающий завод
"21 май 2021 начаться строительство комплекс по переработка этансодержащий газ в район усть-луга — уникальный в мир кластер , объединять и газопереработка , и газохимия , и сжижение природный газ .",Усть-Луги,,
9 июнь 2021 амурский газоперерабатывающий завод запустить в работа .,,,Амурский газоперерабатывающий завод
"4 август 2021 « газпром » зарегистрировать в санкт-петербург . новый адрес компания — г . санкт-петербург , пр-кт лахтинский , д . 2 , к . 3 , стр . 1 ( мфк « лахта центр » ) .",Санкт-Петербург Лахтинский,,МФК «Лахта Центр Газпром
"3 сентябрь 2021 на амурский газоперерабатывающий завод : запустить второй технологический линия ; начать работа первый из три установка выделение , сжижение и затаривание гелий .",,,Амурский газоперерабатывающий завод
"3 сентябрь 2021 в приморский край ввести в эксплуатация крупный в мир гелиевый хаб . его задача — обслуживание контейнер , направлять на амурский газоперерабатывающий завод для заполнение , организация логистика , прием , весовой контроль и подготовка изотермический контейнер , прибывать с завод , к предстоящий погрузка на морской судно .",Приморский край,,Амурский газоперерабатывающий завод
10 сентябрь 2021 завершить строительство газопровод « северный поток — 2 » .,,,
"27 сентябрь 2021 подписать два долгосрочный контракт на поставка российский газ в венгрия . суммарный объем контракт — до 4,5 млрд куб . м в год , срок действие каждый из они — 15 год .",Венгрия,,
4 февраль 2022 подписать контракт на поставка российский трубопроводный газ в китай по « дальневосточный » маршрут между пао « газпром » и cnpc . новый маршрут увеличить объем поставка российский газ в китай на 10 млрд куб . м .,Китай,,ПАО «Газпром» CNPC
"23 март 2022 реализовать комплексный проект по эффективный освоение углеводородный запас месторождение надым-пур-тазовский регион . в комплекс входить установка стабилизация конденсат месторождение надым-пур-тазовский регион , нефтеперекачивающий станция « уренгойский » , нефтеконденсатопровод « уренгой — пур-пэ » и приемо-сдаточный пункт .",Пур-Пэ Надым-Пур-Тазовского Уренгой,,Уренгойская
"6 сентябрь подписать дополнительный соглашение к долгосрочный договор купля-продажа газ по « восточный » маршрут между пао « газпром » и cnpc . в частность , зафиксировать переход на осуществление расчет за поставка российский газ в китай в национальный валюта страна — рубль и юань ;",Китай,,ПАО «Газпром» CNPC
"29 сентябрь в корсаковский район сахалинский область состояться пуск газ на газораспределительный станция « корсаков » , построить в рамка программа развитие газоснабжение и газификация сахалинский область .",Корсаков Сахалинская область Корсаковский район,,
"30 сентябрь внеочередной общий собрание акционер пао « газпром » в форма заочный голосование утвердить размер промежуточный дивиденд за первый полугодие 2022 год — 51,03 руб . на один акция . это рекордно высокий объем дивиденд в история компания и весь российский фондовый рынок .",,,ПАО «Газпром»
"21 декабрь запустить в работа ковыктинский месторождение и участок газопровод « сила сибирь » . теперь газ в « сила сибирь » поступать с оба источник — ковыктинский и чаяндинской месторождение , а газопровод « сила сибирь » ввести в эксплуатация на весь протяженность — более 3 тыс . км .",Ковыктинский Ковыктинское Чаяндинское месторождения,,Сила Сибири
6 декабрь запустить в работа семаковское газовый месторождение в ямало-ненецкий автономный округ .,Ямало-Ненецкий автономный округ Семаковское,,
2 декабрь « газпром » построить на территория « сириус » в краснодарский край самый современный в мир центр художественный гимнастика .,Краснодарский край,,Центр художественной гимнастики Сириус Газпром
